hvdc_code,case_no,site_code,eq_no,pkg,description,final_location,storage,l_cm,w_cm,h_cm,cbm,nw_kg,gw_kg,sqm,vendor
HVDC-ADOPT-HE-0001,207721,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207722,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207723,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207724,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207725,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207726,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207727,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207728,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207729,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207730,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207731,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,207732,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,208221,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0001,208222,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0002,207603,DAS,EQ-001,1,Top + bottom conductors Neg,DAS,Outdoor covered,270.0,105.0,138.0,3.9123,294.0,470.0,2.835,HITACHI
HVDC-ADOPT-HE-0002,207604,DAS,EQ-001,1,Top + bottom conductors Neg,DAS,Outdoor covered,270.0,105.0,138.0,3.9123,294.0,470.0,2.835,HITACHI
HVDC-ADOPT-HE-0002,207772,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0002,207773,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
