hvdc_code,case_no,flow_code,flow_code_original,flow_code_derived,override_reason,warehouse_count,has_mosb_leg,has_site_arrival,customs_code,customs_start_iso,customs_end_iso,last_status,requires_review
HVDC-ADOPT-HE-0001,207721,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207722,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207723,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207724,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207725,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207726,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207727,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207728,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207729,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207730,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207731,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0001,207732,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2023-12-30T00:00:00+04:00,2024-01-16T00:00:00+04:00,site,False
