hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0001,PRL-DAS-002-O Lot1,HITACHI,Sweden,Gothenburg,Khalifa port,MSC China,85044083,SEK,433859.0
HVDC-ADOPT-HE-0002,PRL-DAS-002-O Lot2,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85044083,SEK,433859.0
HVDC-ADOPT-HE-0003,PRL-DAS-002-O9 Lot5,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85044083,SEK,433859.0
HVDC-ADOPT-HE-0004,PRL-DAS-002-O Lot7,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Tessa,85044083,SEK,433859.0
HVDC-ADOPT-HE-0005,PRL-DAS-002-O Lot6,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Loretto,85044083,SEK,333859.0
HVDC-ADOPT-HE-0007,PRL-DAS-002-O Lot3,HITACHI,Belgium,Antwerp,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0008,PRL-DAS-002-O1 Lot1,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0009,PRL-DAS-002-O2 Lot4,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0010,PRL-DAS-002-O3 Lot4,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0011,PRL-DAS-002-O4 Lot4,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0012,PRL-DAS-001-O Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0013,PRL-DAS-001-O Lot 1 Spare,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0014,PRL-MIR-001-O Lot1,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0015,PRL-MIR-001-O Lot1 Spare,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0016,PRL-SHU-001-O Lot1,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0017,PRL-SHU-001-O Lot1 Spare,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0018,PRL-ZAK-001-O Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0019,PRL-ZAK-001-O Lot 1 Spare,HITACHI,Belgium,Antwerp,Khalifa port,Evelyn Maers,8504 50 00,EUR,129230.7
HVDC-ADOPT-HE-0020,PRL-DAS-002-O5 Lot4,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Ambra,85412900,SEK,2079511.0
HVDC-ADOPT-HE-0021,PRL-SHU-003-O1 Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,MSC Ambra,8504 50 00,EUR,164968.3
HVDC-ADOPT-HE-0022,PRL-DAS-003-O1 LOT1,HITACHI,Belgium,Antwerp,Khalifa port,MSC Ambra,8504 50 00,EUR,164968.3
HVDC-ADOPT-HE-0023,PRL-DAS-003-O2 LOT1,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0024,PRL-SHU-003-O2 Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0025,PRL-MIR-003-O1 Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0026,PRL-DAS-003-O3 LOT1,HITACHI,Belgium,Antwerp,Khalifa port,MSC Tessa,85045000,EUR,164968.3
HVDC-ADOPT-HE-0027,PRL-DAS-002-O Lot8,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Tessa,85044083,SEK,433859.0
HVDC-ADOPT-HE-0028,PRL-SHU-003-O3 Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,MARIE Maersk,85045000,EUR,164968.3
HVDC-ADOPT-HE-0029,PRL-ZAK-003 O1 Lot 1,HITACHI,Belgium,Antwerp,Khalifa port,EDITH Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0030,PRL-ZAK-003-O3 LOT1,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0031,PRL-ZAK-003-O6 LOT1,HITACHI,Belgium,Antwerp,Khalifa port,ESTELLE Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0032,PRL-ZAK-003-O7 LOT1,HITACHI,Belgium,Antwerp,Khalifa port,ELLY Maersk,85045010,EUR,164968.3
HVDC-ADOPT-HE-0033,PRL-DAS-001-O Lot 2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
HVDC-ADOPT-HE-0034,PRL-DAS-001-O Lot 3 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,129230.7
HVDC-ADOPT-HE-0035,PRL-DAS-003-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0036,PRL-DAS-003-O Lot3,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0037,PRL-DAS-003-O Lot4 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0038,PRL-SHU-001-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
HVDC-ADOPT-HE-0039,PRL-SHU-001-O Lot3 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,129230.7
HVDC-ADOPT-HE-0040,PRL-SHU-003-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0041,PRL-SHU-003-O Lot3,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,8535.84
HVDC-ADOPT-HE-0042,PRL-SHU-001-O Lot4 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0043,PRL-MIR-001-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
HVDC-ADOPT-HE-0044,PRL-MIR-001-O Lot3 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,129230.7
HVDC-ADOPT-HE-0045,PRL-MIR-003-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0046,PRL-MIR-003-O Lot3,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,8535.83
HVDC-ADOPT-HE-0047,PRL-MIR-001-O Lot4 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0048,PRL-ZAK-001-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,64615.25
HVDC-ADOPT-HE-0049,PRL-ZAK-001-O Lot3 Spare,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,129230.7
HVDC-ADOPT-HE-0050,PRL-ZAK-003-O Lot2,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,9144.24
HVDC-ADOPT-HE-0051,PRL-ZAK-003-O Lot3,HITACHI,Belgium,Antwerp,Khalifa port,EUGEN Maersk,85045010,EUR,8535.84
