event_id,hvdc_code,event_type,location,location_code,location_match_method,location_match_score,event_date,source,raw
sev_HVDCADOPTHE0001_DSVOutdoor_2024-01-19,HVDC-ADOPT-HE-0001,WH,DSV Outdoor,,NONE,0.0000,2024-01-19,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-19"", ""count"": 14, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0001_DAS_2025-05-13,HVDC-ADOPT-HE-0001,SITE,DAS,,NONE,0.0000,2025-05-13,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-17"", ""count"": 14, ""field"": ""DAS""}"
sev_HVDCADOPTHE0002_DSVOutdoor_2024-01-25,HVDC-ADOPT-HE-0002,WH,DSV Outdoor,,NONE,0.0000,2024-01-25,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-25"", ""count"": 10, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0002_MOSB_2024-05-08,HVDC-ADOPT-HE-0002,PORT,MOSB,,NONE,0.0000,2024-05-08,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-05-08"", ""count"": 4, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0002_Shifting_2024-05-08,HVDC-ADOPT-HE-0002,GEN,Shifting,,NONE,0.0000,2024-05-08,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-05-08"", ""count"": 4, ""field"": ""Shifting""}"
sev_HVDCADOPTHE0002_DAS_2024-07-14,HVDC-ADOPT-HE-0002,SITE,DAS,,NONE,0.0000,2024-07-14,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-21"", ""count"": 10, ""field"": ""DAS""}"
sev_HVDCADOPTHE0003_DSVOutdoor_2024-01-25,HVDC-ADOPT-HE-0003,WH,DSV Outdoor,,NONE,0.0000,2024-01-25,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-29"", ""count"": 27, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0003_DSVIndoor_2024-01-29,HVDC-ADOPT-HE-0003,WH,DSV Indoor,,NONE,0.0000,2024-01-29,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-29"", ""count"": 32, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0003_MOSB_2024-05-20,HVDC-ADOPT-HE-0003,PORT,MOSB,,NONE,0.0000,2024-05-20,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-27"", ""count"": 10, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0003_Shifting_2024-05-20,HVDC-ADOPT-HE-0003,GEN,Shifting,,NONE,0.0000,2024-05-20,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-05-21"", ""count"": 4, ""field"": ""Shifting""}"
