vendor,FLOW_CODE,count
Arab Steel,0,3
Arab Steel,5,2
"BMT Co., Ltd",5,4
Bansuk,0,6
Bansuk,5,14
Dong Yang,0,1
Dong Yang,5,5
Dong-A Bestech,0,1
Dong-A Bestech,5,5
EUPEN,0,1
EUPEN,5,5
Excellift,0,3
Excellift,5,5
FIRE EATER,0,3
Fluid Pumps,0,6
Hitachi,0,389
Hitachi,5,176
LS Cable,0,15
LS Cable,5,13
Prysmian,0,20
Prysmian,5,2
Roxtec,0,2
Roxtec,5,13
SCHRACK SECONET,0,5
SHIN AHN,5,5
STATRON,0,8
STATRON,5,3
Sangdong,0,4
Sangdong,5,17
Siemens,0,43
Siemens,5,22
Sumitomo,0,23
Sumitomo,5,1
TaeHwa,0,4
TaeHwa,5,16
