NO.,HVDC_CODE,SITE,EQ_NO,CASE_NO.,PKG,STORAGE,DESCRIPTION,L(CM),W(CM),H(CM),CBM,N.W(KGS),G.W(KGS),STACK,STACK_STATUS,HS_CODE,CURRENCY,PRICE,VESSEL,COE,POL,POD,ETD/ATD,ETA/ATA,DHL_WAREHOUSE,DSV_INDOOR,DSV_AL_MARKAZ,DSV_OUTDOOR,HAULER_INDOOR,DSV_MZP,MOSB,SHIFTING,MIR,SHU,DAS,AGI,STATUS_WAREHOUSE,STATUS_SITE,STATUS_CURRENT,STATUS_LOCATION_TEMP,STATUS_LOCATION,STATUS_LOCATION_DSV_INDOOR_DSV_AL_MARKAZ,STATUS_LOCATION_DSV_AL_MARKAZ,STATUS_LOCATION_DSV_INDOOR,STATUS_LOCATION_DATE,STATUS_LOCATION_DATE_YEAR,STATUS_LOCATION_DATE_MONTH,STATUS_STORAGE,WH_HANDLING_LEGACY,SITE_HANDLING,TOTAL_HANDLING,MINUS,FINAL_HANDLING,SQM,STACK_STATUS2,STATUS_LOCATION_YEARMONTH,VENDOR,SOURCE_FILE,SITE_HANDLING_ORIGINAL,TOTAL_HANDLING_ORIGINAL,WH_HANDLING_ORIGINAL,FLOW_CODE,FLOW_DESCRIPTION,FINAL_LOCATION
1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207721,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
2,HVDC-ADOPT-HE-0001,DAS,EQ-001,207722,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
3,HVDC-ADOPT-HE-0001,DAS,EQ-001,207723,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
4,HVDC-ADOPT-HE-0001,DAS,EQ-001,207724,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
5,HVDC-ADOPT-HE-0001,DAS,EQ-001,207725,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
6,HVDC-ADOPT-HE-0001,DAS,EQ-001,207726,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
7,HVDC-ADOPT-HE-0001,DAS,EQ-001,207727,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
8,HVDC-ADOPT-HE-0001,DAS,EQ-001,207728,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
9,HVDC-ADOPT-HE-0001,DAS,EQ-001,207729,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
10,HVDC-ADOPT-HE-0001,DAS,EQ-001,207730,1,Outdoor covered,Bottom Shield,426,231,255,25.09353,400,1144,Stackable x1,1,85044083,SEK,433859,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,2024-01-19,,,,,,,2025-05-13,,1,1,site,DAS,DAS,,,,2025-05-13,2025,5,site,1,1,2,0,2,9.8406,1,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
