NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
51,HVDC-ADOPT-SCT-0001,E08,HVDC-ADOPT-SCT-0001,2024-02-15,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (1st),O,,O,,FOB,USD,38253.9,1020.0,535.55,39809.45,KOREA,Busan Port,Khalifa port,290-700-2402-027,YM WIDTH,,C,10,,,1.0,,,,,,,,,,,,,,1.0,,,,3408.0,11.24,11.24,,2024-02-15,2024-02-15,2024-03-22,2024-03-22,2024-02-16,2024-03-19,2024-03-21,2024-03-21,47150.0,5370.0,7579.0,2024-03-28,,,,,,,,,,,,,,,1,Port → Site
52,HVDC-ADOPT-SCT-0002,M01,HVDC-ADOPT-SCT-0002,2024-04-23,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (1st),O,O,,,FOB,USD,85700.0,7200.0,1030.0,93930.0,MALAYSIA,Port Klang,Khalifa port,KUL00001170,ALS FLORA,,C,16,1.0,,1.0,,,,,,,2.0,,,,,,,4.0,,,,15149.0,59.3,59.3,,2024-04-25,2024-04-25,2024-05-11,2024-05-11,2024-05-03,2024-05-13,2024-05-13,2024-05-13,47150.0,17248.0,18110.0,2024-05-16,,2024-05-15,,,,,,,,,,,,,1,Port → Site
168,HVDC-ADOPT-SCT-0004,M01,HVDC-ADOPT-SCT-0004,2024-06-04,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (2nd),O,,,O,FOB,USD,56460.0,3900.0,846.9,61206.9,MALAYSIA,Port Klang,Khalifa port,KUL00001329,TS KEELUNG,,C,13,,2.0,,,,,,,,,,,,,,,2.0,,,,7122.0,27.47,27.47,,2024-06-21,2024-06-21,2024-07-19,2024-07-19,2024-07-03,2024-07-23,2024-07-23,2024-07-23,47150.0,11240.0,11801.0,2024-07-30,,,2024-08-14,,,,,,,,,,,,1,Port → Site
181,HVDC-ADOPT-SCT-0008,M01,HVDC-ADOPT-SCT-0008,2024-06-04,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (4th),,,O,O,FOB,USD,65400.0,3800.0,981.0,70181.0,MALAYSIA,Port Klang,Khalifa port,KUL00001351,TONSBERG,,C,5,,,,,,,,,,,,2.0,,,,,2.0,,,,9300.0,38.78,38.78,,2024-06-28,2024-06-28,2024-07-25,2024-07-25,2024-07-10,2024-07-25,2024-07-26,2024-07-26,47150.0,12887.0,13531.0,,2024-07-30,,,,,,,,,,,,,,1,Port → Site
189,HVDC-ADOPT-SCT-0006,E08,HVDC-ADOPT-SCT-0006,2024-06-19,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (2nd),O,,O,,FOB,USD,146515.9,14400.0,1758.19,162674.09,KOREA,Busan Port,Khalifa port,290-700-2406-028,HMM DREAM,,C,38,1.0,,7.0,,,,,,,,,,,,,,8.0,,,,84803.0,369.36,369.36,,2024-06-19,2024-06-19,2024-07-30,2024-07-30,2024-06-21,2024-07-30,2024-07-30,2024-07-30,47150.0,29872.0,31365.0,2024-08-12,2024-08-12,,,,,,,,,,,,,,1,Port → Site
227,HVDC-ADOPT-SCT-0013,E08,HVDC-ADOPT-SCT-0013,2024-07-19,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (4th),O,,O,,FOB,USD,323098.2,25600.0,3877.18,352575.38,KOREA,Busan Port,Khalifa port,290-700-2407-079,HMM RAON,Deugro,C,78,,,16.0,,,,,,,,,,,,,,16.0,,,,219962.0,867.79,867.79,,2024-07-19,2024-07-19,2024-08-28,2024-08-28,2024-07-26,2024-08-26,2024-08-27,2024-08-27,47150.0,64742.0,67979.0,2024-09-14,2024-09-06,,,,,,,,,,,,,,1,Port → Site
282,HVDC-ADOPT-SCT-0018,E08,HVDC-ADOPT-SCT-0018,2024-09-25,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (1st),O,O,O,O,FOB,USD,147719.16,8000.0,1772.63,157491.79,KOREA,Busan Port,Khalifa port,290-700-2409-040,HMM RAON,Deugro,C,19,,,5.0,,,,,,,,,,,,,,5.0,,,,70920.0,115.73,115.73,,2024-09-26,2024-09-26,2024-11-04,2024-11-04,2025-04-10,2024-11-06,2024-11-06,2024-11-06,47150.0,28920.0,30365.0,2024-11-13,2024-11-18,2024-12-11,2024-12-11,,,,,,,,,,,,1,Port → Site
283,HVDC-ADOPT-SCT-0015,E08,HVDC-ADOPT-SCT-0015,2024-09-26,5000735555,LS Cable,Elec,400kv Power Cable,400kv Power Cable (1st),,,O,,FOB,USD,1996172.3,14400.0,23954.07,2034526.37,KOREA,Busan Port,Khalifa port,290-700-2409-039,HMM Raon,Deugro,C,9,,,,,,,,,9.0,,,,,,,,9.0,,,,254971.0,438.57,438.57,,2024-09-26,2024-09-26,2024-11-04,2024-11-04,2025-04-17,2024-11-04,2024-11-05,2024-11-05,47150.0,373590.0,392269.0,,2024-11-26,,,,,,,,,,,,,,1,Port → Site
288,HVDC-ADOPT-SCT-0019,E08,HVDC-ADOPT-SCT-0019,2024-10-01,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (7th),,,O,O,FOB,USD,185281.41,16000.0,2223.38,203504.79,KOREA,Busan Port,Khalifa port,290-700-2409-057,HMM Daon,Deugro,C,47,,,10.0,,,,,,,,,,,,,,10.0,,,,129578.0,406.72,406.72,,2024-10-01,2024-10-01,2024-11-11,2024-11-11,2025-04-16,2024-11-12,2024-11-12,2024-11-12,47150.0,37369.0,39237.0,2025-01-17,2025-01-02,,2025-04-21,,,,,,,,,,,,1,Port → Site
289,HVDC-ADOPT-SCT-0020,E08,HVDC-ADOPT-SCT-0020,2024-10-01,5000735555,LS Cable,Elec,400kv Power Cable,400kv Power Cable (2nd),,,O,,FOB,USD,1979727.86,14400.0,23954.07,2018081.93,KOREA,Busan Port,Khalifa port,290-700-2409-058,HMM Daon,Deugro,C,9,,,,,,,,,9.0,,,,,,,,9.0,,,,253128.0,438.57,438.57,,2024-10-01,2024-10-01,2024-11-11,2024-11-11,2025-04-17,2024-11-12,2024-11-12,2024-11-12,47150.0,370218.0,388729.0,,2024-12-01,,,,,,,,,,,,,,1,Port → Site
