NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
4,HVDC-ADOPT-PPL-0003,E02,HVDC-ADOPT-PPL-0003,2023-12-17,5000675246,Prysmian,Elec,320kV HVDC Cable System,DTS and DAS Monitoritng System,,,O,O,CIF,EUR,2367020.09,1680.0,36071.0,2404771.09,ITALY,La Spezia,Khalifa,ASLGMS003258/E01,MSC Amelia,Allied Seafreight Line,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,1074.0,12.67,12.67,,2023-12-15,2023-12-17,2024-02-12,2024-02-14,2023-12-20,2024-02-13,2024-02-14,2024-02-14,47150.0,0.0,472729.0,,2025-10-30,,,2024-02-26,,,,,,2025-12-12,,,,,3,Port → WH → MOSB → Site
10,HVDC-ADOPT-PPL-0009,E02,HVDC-ADOPT-PPL-0009,2023-12-22,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable,,,,,CIF,EUR,300617.62,314.0,4272.87,305204.49,GERMANY,Nordenham,Mina Zayed,NO.2,ULISSE,,B,6,,,,,,,,,,,,,,,,,0.0,2.62,,,560.0,2.62,2.62,,2023-12-22,2023-12-22,2024-03-02,2024-03-02,2024-01-10,2024-03-01,2024-03-02,2024-03-02,47150.0,60954.0,63624.0,,2025-12-09,,2025-12-07,,,,2024-03-03,,,2025-12-04,,,,,3,Port → WH → MOSB → Site
55,HVDC-ADOPT-SIM-0001,E04-1,HVDC-ADOPT-SIM-0001,2024-01-24,SCT-19LT-PRC-PO-005,EUPEN,Elec,400kV and 132kV New Converter GIS,LV Cable,O,O,O,O,CIF,EUR,227859.48,4320.0,3247.89,235427.37,BELGIUM,Antwerp,Khalifa port,MEDUAX400529,Eugen Maersk,,C,28,,,2.0,,,,,,,,,,,,,,2.0,,,,26633.0,55.22,55.22,,2024-01-25,2024-02-09,2024-03-14,2024-03-14,2024-03-07,2024-03-14,2024-03-15,2024-03-15,47150.0,47149.0,49506.0,2024-03-28,2024-04-18,2024-04-04,2024-04-04,,2024-03-20,,,,,2024-03-26,,,,,3,Port → WH → MOSB → Site
165,HVDC-ADOPT-SCT-0003,E08,HVDC-ADOPT-SCT-0003,2024-05-22,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (2nd),O,O,O,O,FOB,USD,61300.84,1475.2,774.56,63550.6,KOREA,Busan Port,Khalifa port,290-700-2405-015,AL NASRIYAH,,C,12,,,1.0,,,,,,,,,,,,,,1.0,,,,4105.0,16.98,16.98,,2024-05-22,2024-05-22,2024-07-04,2024-07-04,2024-05-28,2024-07-03,2024-07-04,2024-07-04,47150.0,7965.0,12068.0,2024-08-07,,2024-07-14,,,2024-07-09,,,,,2024-07-09,,,,,3,Port → WH → MOSB → Site
169,HVDC-ADOPT-SCT-0005,E08,HVDC-ADOPT-SCT-0005,2024-06-01,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (1st),,O,,O,FOB,USD,143228.39,12600.0,1718.74,157547.13,KOREA,Busan Port,Khalifa port,290-700-2405-188,YM WELLHEAD,,C,37,,,7.0,,,,,,,,,,,,,,7.0,,,,85147.0,392.11,392.11,,2024-06-01,2024-06-01,2024-07-18,2024-07-18,2024-06-11,2024-07-19,2024-07-19,2024-07-19,47150.0,28930.0,30376.0,,,2024-08-28,,,,,,,,2024-08-26,,,,,3,Port → WH → MOSB → Site
180,HVDC-ADOPT-SCT-0007,M01,HVDC-ADOPT-SCT-0007,2024-06-18,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (3rd),,,O,O,FOB,USD,52090.0,3800.0,781.35,56671.35,MALAYSIA,Port Klang,Khalifa port,KUL00001327,TS KEELUNG,,C,15,,2.0,,,,,,,,,,,,,,,2.0,,,,9192.0,32.51,32.51,,2024-06-29,2024-06-29,2024-07-19,2024-07-19,2024-07-03,2024-07-23,2024-07-23,2024-07-23,47150.0,10407.0,10927.0,,2024-07-30,,,,,,,,,2024-07-30,,,,,3,Port → WH → MOSB → Site
212,HVDC-ADOPT-SCT-0009,E08,HVDC-ADOPT-SCT-0009,2024-07-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (3rd),,O,,,FOB,USD,225751.4,19800.0,2709.02,248260.42,KOREA,Busan Port,Khalifa port,290-700-2406-154,HMM GAON,,C,68,1.0,,13.0,,,,,,,,,,,,,,14.0,,,,168787.0,665.53,665.53,,2024-07-03,2024-07-05,2024-08-12,2024-08-12,2024-07-08,2024-08-13,2024-08-13,2024-08-13,47150.0,45587.0,47866.0,,,2024-12-18,,,,,,,,2024-09-16,,,,,3,Port → WH → MOSB → Site
214,HVDC-ADOPT-SCT-0010,M01,HVDC-ADOPT-SCT-0010,2024-07-08,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (5th),O,O,,O,FOB,USD,141370.0,7520.0,2120.55,151010.55,MALAYSIA,Port Klang,Khalifa port,KUL00001355,MSC GENERAL IV,Alpha Maritime,C,26,,,4.0,,,,,,,,,,,,,,4.0,,,,20980.0,74.71,74.71,,2024-07-12,2024-07-12,2024-08-08,2024-08-08,2024-07-16,2024-08-09,2024-08-09,2024-08-09,47150.0,27730.0,29116.0,2025-01-16,,2025-01-12,2025-01-15,,,,,,,2025-01-14,,,,,3,Port → WH → MOSB → Site
229,HVDC-ADOPT-SCT-0014,E08,HVDC-ADOPT-SCT-0014,2024-08-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (5th),O,,O,O,FOB,USD,371474.79,33000.0,4457.7,408932.49,KOREA,Busan Port,Khalifa port,290-700-2407-153,AL NASRIYAH,Deugro,C,82,,,15.0,,,,,,,,,,,,,,15.0,,,,187023.0,630.17,630.17,,2024-08-05,2024-08-05,2024-09-10,2024-09-10,2025-04-16,2024-09-10,2024-09-10,2024-09-10,47150.0,75091.0,78845.0,2024-09-27,2024-11-04,,2025-06-11,,,,,,,2025-01-09,,,,,3,Port → WH → MOSB → Site
245,HVDC-ADOPT-SCT-0016,E08,HVDC-ADOPT-SCT-0016,2024-08-30,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (6th),,,O,O,FOB,USD,357177.36,22400.0,4286.13,383863.49,KOREA,Busan Port,Khalifa port,290-700-2408-124,HMM HANUL,Deugro,C,80,,,14.0,,,,,,,,,,,,,,14.0,,,,195066.0,623.03,623.03,,2024-08-30,2024-08-30,2024-10-04,2024-10-04,,2024-10-03,2024-10-04,2024-10-04,47150.0,70487.0,74011.0,,2024-11-04,2025-06-30,2025-05-21,,2024-10-06,,,,,2025-01-15,,,,,3,Port → WH → MOSB → Site
