NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
2,HVDC-ADOPT-PPL-0002,E02,HVDC-ADOPT-PPL-0002,2023-11-12,5000675246,Prysmian,Elec,320kV HVDC Cable System,Onshore Optical Fibre Cable,,,O,O,CIF,EUR,271957.4,1740.0,4080.1,277777.5,FRANCE,Le Havre,Mina Zayed,ASLGMS003218/E01,BBC ASIA,Allied Seafreight Line,B,12,,,,,,,,,,,,,,,,,0.0,75.0,,,23664.18,75.0,75.0,,2023-11-12,2023-11-12,2023-11-30,2023-12-01,2023-11-29,2023-11-30,2023-11-29,2023-12-01,47150.0,0.0,55648.0,,2025-11-24,,,,,,,2023-12-06,,,,,,,2,Port → WH → Site
3,HVDC-ADOPT-HS-0001,M02,HVDC-ADOPT-HS-0001,2023-11-26,HVDC-Carbon steel Plate-'23-1,SCT Trade,Mech,Tank Plate & Accessories,Tank Plate & Accessories,O,O,O,O,CIF,USD,393147.82,25958.13,943.93,420049.88,KOREA,Dangjin,Jebel Ali,ENC109DANJEB11,ENCORE V109,Mariso Shipping,B,66,,,,,,,,,,,,,,,,,0.0,60.13,,,471966.0,60.13,471.97,,2023-11-26,2023-12-03,2024-01-07,2024-01-12,2023-12-08,2024-01-12,2024-01-12,2024-01-16,89901.0,77562.0,0.0,,,,,,,,,,,,,,,2024-01-20,2,Port → WH → Site
4,HVDC-ADOPT-PPL-0003,E02,HVDC-ADOPT-PPL-0003,2023-12-17,5000675246,Prysmian,Elec,320kV HVDC Cable System,DTS and DAS Monitoritng System,,,O,O,CIF,EUR,2367020.09,1680.0,36071.0,2404771.09,ITALY,La Spezia,Khalifa,ASLGMS003258/E01,MSC Amelia,Allied Seafreight Line,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,1074.0,12.67,12.67,,2023-12-15,2023-12-17,2024-02-12,2024-02-14,2023-12-20,2024-02-13,2024-02-14,2024-02-14,47150.0,0.0,472729.0,,2025-10-30,,,2024-02-26,,,,,,2025-12-12,,,,,3,Port → WH → MOSB → Site
5,HVDC-ADOPT-PPL-0004,E02,HVDC-ADOPT-PPL-0004,2023-12-17,5000675246,Prysmian,Elec,320kV HVDC Cable System,Cable Accessories,,,O,O,CIF,EUR,1611059.71,9750.0,24681.8,1645491.51,ITALY,La Spezia,Khalifa,ASLGMS003259/E01,MSC Amelia,Allied Seafreight Line,C,88,1.0,,6.0,,,,,,,,,,,,,,7.0,,,,27151.0,160.3,160.3,,2023-12-15,2023-12-17,2024-01-30,2024-01-31,2023-12-20,2024-01-31,2024-01-31,2024-02-01,47150.0,328001.0,344400.0,,2025-11-25,,,,,,,2024-02-05,,,,,,,2,Port → WH → Site
6,HVDC-ADOPT-PPL-0005,E02,HVDC-ADOPT-PPL-0005,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Subsea Repair Joint,,,O,O,CIF,EUR,381570.08,2421.0,58868.24,442859.32,ITALY,Port of Pozzuoli,Mina Zayed,NO.2,LEONARDO DA VINCI,,B,18,,,,,,,,,,,,,,,,,0.0,26.9,,,7645.0,26.9,26.9,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-16,2024-01-17,47150.0,89070.0,93523.0,,,,,,,,,2024-01-07,,,,,,,2,Port → WH → Site
7,HVDC-ADOPT-PPL-0006,E02,HVDC-ADOPT-PPL-0006,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Pulling Stocks,,,O,O,CIF,EUR,50552.04,125.0,736.84,51413.88,ITALY,Port of Pozzuoli,Mina Zayed,NO.4,LEONARDO DA VINCI,,B,1,,,,,,,,,,,,,,,,,0.0,1.2,,,975.0,1.2,1.2,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-15,2024-01-17,47150.0,10341.0,10858.0,,,,,,,,,2024-01-07,,,,,,,2,Port → WH → Site
8,HVDC-ADOPT-PPL-0007,E02,HVDC-ADOPT-PPL-0007,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Repair Joint for FO Unit,,,O,O,CIF,EUR,33858.46,140.0,482.74,34481.2,ITALY,Port of Pozzuoli,Mina Zayed,NO.5,LEONARDO DA VINCI,,B,4,,,,,,,,,,,,,,,,,0.0,1.4,,,150.0,1.4,1.4,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-13,2024-01-17,47150.0,6935.0,7282.0,,2025-11-24,,,,,,,2024-01-07,,,,,,,2,Port → WH → Site
9,HVDC-ADOPT-PPL-0008,E02,HVDC-ADOPT-PPL-0008,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Yale Grips,,,O,O,CIF,EUR,126503.2,60.0,1797.04,128360.24,ITALY,Port of Pozzuoli,Mina Zayed,NO.3,LEONARDO DA VINCI,,B,2,,,,,,,,,,,,,,,,,0.0,0.2,,,597.0,0.2,0.6,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-03,2024-01-13,2024-01-15,2024-01-17,47150.0,25817.0,27107.0,,,,,,,,,2024-01-07,,,,,,,2,Port → WH → Site
10,HVDC-ADOPT-PPL-0009,E02,HVDC-ADOPT-PPL-0009,2023-12-22,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable,,,,,CIF,EUR,300617.62,314.0,4272.87,305204.49,GERMANY,Nordenham,Mina Zayed,NO.2,ULISSE,,B,6,,,,,,,,,,,,,,,,,0.0,2.62,,,560.0,2.62,2.62,,2023-12-22,2023-12-22,2024-03-02,2024-03-02,2024-01-10,2024-03-01,2024-03-02,2024-03-02,47150.0,60954.0,63624.0,,2025-12-09,,2025-12-07,,,,2024-03-03,,,2025-12-04,,,,,3,Port → WH → MOSB → Site
47,HVDC-ADOPT-PPL-0010,E02,HVDC-ADOPT-PPL-0010,2024-02-14,5000675246,Prysmian,Elec,320kV HVDC Cable System,Single Core Bonding Cable,O,,,,DAP,EUR,97000.0,800.0,1200.0,99000.0,OMAN,Muscat,UAE,,Road Tranport,,B,2,,,,,,,,,,,,,,,,,0.0,,,,1657.0,3.6,3.6,,2024-02-21,2024-02-21,2024-02-23,2024-02-23,2024-02-15,2024-02-23,2024-02-22,2024-02-22,47150.0,0.0,19996.0,,2025-11-24,,,,,,,2024-02-23,,,,,,,2,Port → WH → Site
