NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS
2,HVDC-ADOPT-PPL-0002,E02,HVDC-ADOPT-PPL-0002,2023-11-12,5000675246,Prysmian,Elec,320kV HVDC Cable System,Onshore Optical Fibre Cable,,,O,O,CIF,EUR,271957.4,1740,4080.1,277777.5,FRANCE,Le Havre,Mina Zayed,ASLGMS003218/E01,BBC ASIA,Allied Seafreight Line,B,12,,,,,,,,,,,,,,,,,0,75,,,23664.18,75,75,,2023-11-12,2023-11-12,2023-11-30,2023-12-01,2023-11-29,2023-11-30,2023-11-29,2023-12-01,47150,0,55648,,2025-11-24,,,,,,,2023-12-06,,,,,,
3,HVDC-ADOPT-HS-0001,M02,HVDC-ADOPT-HS-0001,2023-11-26,HVDC-Carbon steel Plate-'23-1,SCT Trade,Mech,Tank Plate & Accessories,Tank Plate & Accessories,O,O,O,O,CIF,USD,393147.82,25958.13,943.93,420049.88,KOREA,Dangjin,Jebel Ali,ENC109DANJEB11,ENCORE V109,Mariso Shipping,B,66,,,,,,,,,,,,,,,,,0,60.13,,,471966,60.13,471.97,,2023-11-26,2023-12-03,2024-01-07,2024-01-12,2023-12-08,2024-01-12,2024-01-12,2024-01-16,89901,77562,0,,,,,,,,,,,,,,,2024-01-20
4,HVDC-ADOPT-PPL-0003,E02,HVDC-ADOPT-PPL-0003,2023-12-17,5000675246,Prysmian,Elec,320kV HVDC Cable System,DTS and DAS Monitoritng System,,,O,O,CIF,EUR,2367020.09,1680,36071,2404771.09,ITALY,La Spezia,Khalifa,ASLGMS003258/E01,MSC Amelia,Allied Seafreight Line,C,6,,,1,,,,,,,,,,,,,,1,,,,1074,12.67,12.67,,2023-12-15,2023-12-17,2024-02-12,2024-02-14,2023-12-20,2024-02-13,2024-02-14,2024-02-14,47150,0,472729,,2025-10-30,,,2024-02-26,,,,,,2025-12-12,,,,
5,HVDC-ADOPT-PPL-0004,E02,HVDC-ADOPT-PPL-0004,2023-12-17,5000675246,Prysmian,Elec,320kV HVDC Cable System,Cable Accessories,,,O,O,CIF,EUR,1611059.71,9750,24681.8,1645491.51,ITALY,La Spezia,Khalifa,ASLGMS003259/E01,MSC Amelia,Allied Seafreight Line,C,88,1,,6,,,,,,,,,,,,,,7,,,,27151,160.3,160.3,,2023-12-15,2023-12-17,2024-01-30,2024-01-31,2023-12-20,2024-01-31,2024-01-31,2024-02-01,47150,328001,344400,,2025-11-25,,,,,,,2024-02-05,,,,,,
6,HVDC-ADOPT-PPL-0005,E02,HVDC-ADOPT-PPL-0005,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Subsea Repair Joint,,,O,O,CIF,EUR,381570.08,2421,58868.24,442859.32,ITALY,Port of Pozzuoli,Mina Zayed,NO.2,LEONARDO DA VINCI,,B,18,,,,,,,,,,,,,,,,,0,26.9,,,7645,26.9,26.9,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-16,2024-01-17,47150,89070,93523,,,,,,,,,2024-01-07,,,,,,
7,HVDC-ADOPT-PPL-0006,E02,HVDC-ADOPT-PPL-0006,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Pulling Stocks,,,O,O,CIF,EUR,50552.04,125,736.84,51413.88,ITALY,Port of Pozzuoli,Mina Zayed,NO.4,LEONARDO DA VINCI,,B,1,,,,,,,,,,,,,,,,,0,1.2,,,975,1.2,1.2,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-15,2024-01-17,47150,10341,10858,,,,,,,,,2024-01-07,,,,,,
8,HVDC-ADOPT-PPL-0007,E02,HVDC-ADOPT-PPL-0007,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Repair Joint for FO Unit,,,O,O,CIF,EUR,33858.46,140,482.74,34481.2,ITALY,Port of Pozzuoli,Mina Zayed,NO.5,LEONARDO DA VINCI,,B,4,,,,,,,,,,,,,,,,,0,1.4,,,150,1.4,1.4,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-02,2024-01-13,2024-01-13,2024-01-17,47150,6935,7282,,2025-11-24,,,,,,,2024-01-07,,,,,,
9,HVDC-ADOPT-PPL-0008,E02,HVDC-ADOPT-PPL-0008,2023-12-21,5000675246,Prysmian,Elec,320kV HVDC Cable System,Yale Grips,,,O,O,CIF,EUR,126503.2,60,1797.04,128360.24,ITALY,Port of Pozzuoli,Mina Zayed,NO.3,LEONARDO DA VINCI,,B,2,,,,,,,,,,,,,,,,,0,0.2,,,597,0.2,0.6,,2023-12-21,2023-12-21,2024-01-07,2024-01-07,2024-01-03,2024-01-13,2024-01-15,2024-01-17,47150,25817,27107,,,,,,,,,2024-01-07,,,,,,
10,HVDC-ADOPT-PPL-0009,E02,HVDC-ADOPT-PPL-0009,2023-12-22,5000675246,Prysmian,Elec,320kV HVDC Cable System,Minisub FOC Subsea Fiber Optic Cable,,,,,CIF,EUR,300617.62,314,4272.87,305204.49,GERMANY,Nordenham,Mina Zayed,NO.2,ULISSE,,B,6,,,,,,,,,,,,,,,,,0,2.62,,,560,2.62,2.62,,2023-12-22,2023-12-22,2024-03-02,2024-03-02,2024-01-10,2024-03-01,2024-03-02,2024-03-02,47150,60954,63624,,2025-12-09,,2025-12-07,,,,2024-03-03,,,2025-12-04,,,,
11,HVDC-ADOPT-HE-0001,E01,PRL-DAS-002-O Lot 1,2023-12-01,4572116646,Hitachi,Elec,Main Converter,Bottom Schields,,O,,,CIF,SEK,6074026,553419,607402,7234847,SWEDEN,Gothenburg,Khalifa port,GOT36800012,MSC CHINA,Scan Global Logistics AB,C,14,,,7,,,,,,,,,,,,,,7,,,,16016,351.3,351.3,,2023-12-01,2023-12-01,2024-01-11,2024-01-11,2023-12-30,2024-01-13,2024-01-15,2024-01-16,47150,0,129401,,,2025-05-16,,,2024-01-19,,,,,,,,,
12,HVDC-ADOPT-HE-0002,E01,PRL-DAS-002-O Lot 2,2023-12-04,4572116646,Hitachi,Elec,Main Converter,Part of valve,,O,,,CIF,SEK,4338590,115422,433859,4887871,SWEDEN,Gothenburg,Khalifa port,GOT36800018,MSC AMBRA,Scan Global Logistics AB,C,10,,,2,,,,,,,,,,,,,,2,,,,7456,70.8,70.8,,2023-12-07,2023-12-07,2024-01-21,2024-01-21,2024-01-09,2024-01-19,2024-01-23,2024-01-23,47150,0,85681,,,2025-05-16,,,2024-01-25,,,,,2024-05-08,,,,
13,HVDC-ADOPT-HE-0003,E01,PRL-DAS-002-O Lot 5,2023-12-10,4572116646,Hitachi,Elec,Main Converter,"Serpentine, Side Shields, Bottom Shields (part of valve)",,O,,,CIF,SEK,25597681,2134616.14,2559768.1,30292065.24,SWEDEN,Gothenburg,Khalifa port,GOT36800032,MSC AMBRA,Scan Global Logistics AB,C,59,,,10,,,,,,,,,,,,,,10,,,,35148,371.02,371.02,,2023-12-14,2023-12-14,2024-01-21,2024-01-21,2024-01-22,2024-01-19,2024-01-23,2024-01-23,47150,0,532948,,,2025-06-13,,2024-01-29,2024-01-29,,,,,,,,,
14,HVDC-ADOPT-HE-0004,E01,PRL-DAS-002-O Lot 7,2023-12-21,4572116646,Hitachi,Elec,Main Converter,Top Part Installation (Part of valve),,O,,,CIF,SEK,15618924,1249934.24,1561892.4,18430750.64,SWEDEN,Gothenburg,Khalifa port,GOT36800022,MSC TESSA,Scan Global Logistics AB,C,36,,,,,,,,,,9,,,,,,,9,,,,37440,469.24,469.24,,2024-01-03,2024-01-03,2024-02-18,2024-02-18,2024-02-20,2024-02-19,2024-02-19,2024-02-19,47150,0,323107,,,2025-05-13,,,2024-02-23,,,,,,,,,
15,HVDC-ADOPT-HE-0005,E01,PRL-DAS-002-O Lot 6,2023-12-10,4572116646,Hitachi,Elec,Main Converter,Part of valve,,O,,,CIF,SEK,35576438,355114.74,3557643.8,39489196.54,SWEDEN,Gothenburg,Khalifa port,GOT36800026,MSC Loretto,Scan Global Logistics AB,C,82,,,10,,,,,,,,,,,,,,10,,,,62538,391.3,391.3,,2023-12-21,2023-12-21,2024-02-10,2024-02-10,2024-02-12,2024-02-12,2024-02-12,2024-02-12,47150,0,692986,,,2025-06-17,,2024-02-15,2024-02-15,,,,,2025-06-24,,,,
16,HVDC-ADOPT-HE-0007,E01,PRL-DAS-002-O Lot 3,2023-12-05,4572116646,Hitachi,Elec,Main Converter,Layers,,O,,,CIF,SEK,62385330,305217.23,6238533,68929080.23,BELGIUM,Antwerp,Khalifa port,GOT36800031,MSC AMBRA,Scan Global Logistics AB,C,30,,,10,,,,,,,,,,,,,,10,,,,150000,438.83,438.83,,2023-12-19,2023-12-19,2024-01-25,2024-01-20,2024-01-08,2024-01-19,2024-01-21,2024-01-22,47150,0,1208282,,,2025-06-11,,2024-02-02,,,,,,,,,,
17,HVDC-ADOPT-HE-0008,E01,PRL-DAS-002-O1 Lot 4,2023-12-05,4572116646,Hitachi,Elec,Main Converter,Layers,,O,,,CIF,SEK,31192665,152608.62,3119266.5,34464540.12,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,Scan Global Logistics AB,C,15,,,8,,,,,,,,,,,,,,8,,,,75000,219.41,219.41,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,2024-01-22,47150,0,4587966,,,2025-06-11,,2024-01-30,,,,,,,,,,
18,HVDC-ADOPT-HE-0009,E01,PRL-DAS-002-O2 Lot 4,2023-12-10,4572116646,Hitachi,Elec,Main Converter,Layers,,O,,,CIF,SEK,49908264,244173.79,4990826.4,55143264.19,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,Scan Global Logistics AB,C,24,,,8,,,,,,,,,,,,,,8,,,,120000,351.06,351.06,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,2024-01-22,47150,,,,,2025-06-11,,2024-02-03,,,,,,,,,,
19,HVDC-ADOPT-HE-0010,E01,PRL-DAS-002-O3 Lot 4,2023-12-10,4572116646,Hitachi,Elec,Main Converter,Layers,,O,,,CIF,SEK,56146797,274695.51,5414679.7,61836172.21,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,Scan Global Logistics AB,C,27,,,8,,,,,,,,,,,,,,8,,,,135000,394.94,394.94,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,2024-01-22,47150,,,,,2025-06-20,,2024-02-05,,,,,,,,,,
20,HVDC-ADOPT-HE-0011,E01,PRL-DAS-002-O4 Lot 4,2023-12-10,4572116646,Hitachi,Elec,Main Converter,Layers,,O,,,CIF,SEK,49908264,244173.79,4990826.4,55143264.19,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,Scan Global Logistics AB,C,24,,,8,,,,,,,,,,,,,,8,,,,120000,351.1,351.1,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,2024-01-22,47150,,,,,2025-06-30,,2024-02-07,,,,,,,,,,
21,HVDC-ADOPT-HE-0020,E01,PRL-DAS-002-O5 Lot 4,2023-12-10,4572116646,Hitachi,Elec,Main Converter,Layers,,O,,,CIF,SEK,49908264,244173.79,4990826.4,55143264.19,SWEDEN,Gothenburg,Khalifa port,GOT36800019,MSC AMBRA,Scan Global Logistics AB,C,24,,,6,,,,,,,,,,,,,,6,,,,120000,351.06,351.06,,2023-12-14,2023-12-14,2024-01-25,2024-01-21,2024-01-08,2024-01-19,2024-01-21,2024-01-22,47150,,,,,2025-06-30,,,2024-02-08,,,,,,,,,
22,HVDC-ADOPT-HE-0012,E01,PRL-DAS-001-O Lot 1,2023-12-08,4572116646,Hitachi,Elec,Main Converter,Smoothing reactor,,O,,,CIF,EUR,258461.4,15925.43,25846.14,300232.97,BELGIUM,Antwerp,Khalifa port,GOT36800013-001,EVELYN MAERSK,Scan Global Logistics AB,C,2,,,,,,,,,,1,,,,,,,1,,,,11600,41.2,41.2,,2023-12-10,2023-12-10,2024-01-13,2024-01-13,2024-01-08,2024-01-10,2024-01-17,2024-01-18,47150,0,479030,,,2025-05-31,,,2024-01-23,,,,,2025-05-26,,,,
